2984279R,IM,1965,1980
9876873,H,-1,-1
9879923,H,1988,1996
9877755,H,1977,1981
9877812,H,-1,-1
7505346,IM,1965,1980
7503428,H,-1,-1
9875688,H,1978,1991
100891616,QIS,1999,2014
0421527,IM,1965,1979
8703431,Q,1984,1986
7505306,QIS,1971,2017
7510174,QIS,1974,2006
0402113,IM,1965,1972
9103287,E,1990,2006
0372676,IM,1965,1971
9877737,H,1978,1979
9878134,H,1978,1979
9877801,H,-1,-1
9876909,H,1977,1981
9425224,QIS,1995,1996
7509180,IM,1965,1970
7509180,R,1973,1977
7501107,IM,1966,1978
8108552,IM,1979,1980
8108553,IM,1981,1983
7505439,IM,1965,1998
9015215,H,1990,1995
9877019,H,1978,1979
101130981,QIS,1987,-1
0373137,H,-1,-1
8302763,IM,1983,1985
0372706,IM,1965,1986
0215645,H,1975,1995
8710791,H,-1,-1
0373141,H,1980,1995
0406021,H,1975,1995
0372713,IM,1965,1992
7607694,H,-1,-1
0372716,IM,1965,1980
0070157,H,-1,-1
101266775,H,1980,1984
9875219,H,1979,1982
101320224,QIS,2008,-1
0323130,QIS,1968,2007
8704824,H,1987,2002
8704824,T,1994,2005
9607448,IM,2000,2001
8307156,IM,2012,-1
8704505,H,1987,1988
9881936,H,-1,-1
7703861,IM,1988,1989
8811334,H,1988,1993
7502750,H,1978,1979
7900428,H,-1,-1
7708050,IM,1977,1992
8207421,IM,1980,1985
16110080R,IM,1965,1987
0372565,IM,1965,1982
0372565,Q,2006,2012
0372720,IM,1965,1993
2984711R,H,-1,-1
7703631,H,1978,1979
9877765,H,1978,1981
100971574,IM,2003,-1
101294643,IM,2006,-1
9610838,IM,2002,-1
101085550,IM,2001,-1
2985134R,IM,2001,-1
0335405,IM,2002,-1
9513783,IM,2000,-1
101594811,IM,2020,-1
100954211,IM,2000,-1
101580948,IM,2019,-1
101319536,IM,2017,-1
9884216,H,1988,1993
8101257,H,1980,1995
0320227,IM,1972,1997
0320036,IM,1965,1971
0373152,IM,2010,-1
8914261,IM,1989,-1
8213054,QIS,-1,-1
8910181,H,1989,1989
7706553,H,-1,-1
8507387,H,1983,1987
0432523,H,-1,-1
9101410,T,1990,1995
8805785,H,1989,1999
9314884,T,1990,1995
100892390,T,1999,2019
0066472,T,-1,-1
9212070,T,1992,1994
0241111,C,1978,1997
8500687,H,1984,1992
8500687,T,1993,1998
7703640,H,1977,1981
7703640,T,1997,2002
7700182,H,1977,1979
9810770,E,1998,2008
9877754,H,1977,1979
7609235,H,1977,1980
7502545,IM,1965,1970
1276312,IM,1971,1992
9516062,IM,1994,1997
2984730R,IM,1971,1993
9430606,IM,1994,1994
7503763,IM,1975,1982
8310013,IM,1983,1993
9441449,IM,1992,1994
9430518,IM,1994,1994
9441448,IM,1994,1994
9881799,H,1985,1989
9877814,H,1978,1985
101157394,IM,2003,-1
7607706,IM,1994,2002
8303437,H,-1,-1
7810233,H,1976,1978
2984731R,IM,1965,1966
2984731R,IM,1975,1979
9882546,H,1987,1990
7501110,H,-1,-1
7901088,H,-1,-1
0215776,E,1977,2000
0215776,H,1975,1983
0215776,T,1996,2017
0352463,IM,1963,1972
0352714,IM,1972,1972
9878791,H,1980,1980
9880785,H,-1,-1
9007257,T,1991,1995
8219527,T,1979,1995
8702030,T,1991,1995
7905177,H,1978,1982
0321423,H,1978,1983
8912618,T,1991,1995
8807456,T,1990,1995
0411244,R,1973,1985
9877767,H,-1,-1
9892140,H,1990,1992
9883667,H,-1,-1
9877842,H,1977,1978
0420475,IM,1974,1981
9877768,H,1981,1989
9892180,T,1997,2018
7703647,H,1975,1994
7703647,T,1997,2018
8501367,H,1984,1987
8002944,H,1979,1986
9602863,H,-1,-1
0372710,H,1984,1989
7805961,H,-1,-1
1300264,H,-1,-1
0421035,QIS,1971,2017
7808448,B,1992,1998
9100492,B,1990,1994
8809879,T,1990,1991
9011108,T,1990,1994
101208457,IM,2019,-1
8004908,R,-1,-1
0372620,R,1973,1978
0435531,IM,1971,1973
0375425,H,1983,1984
0235440,IM,1973,1979
2984741R,IM,1964,1983
8807027,B,1990,1998
0037276,H,1975,1989
101176026,IM,2004,-1
0434570,QIS,1972,2017
7706740,H,-1,-1
8506890,H,1985,1994
7909963,IM,1986,1999
9113706,IM,1990,1994
8007815,T,1990,2000
0411412,H,1977,1980
9877851,H,1978,1980
8211490,H,-1,-1
7507090,IM,1965,1971
9301140,IM,1992,1999
7505465,IM,1965,1992
0351461,H,1975,1987
0433572,IM,1965,1973
0433572,R,-1,-1
9877769,H,1978,1994
9877769,T,1996,2019
8610855,QIS,1981,2017
9610931,QIS,1996,2017
9877770,H,-1,-1
8511187,T,1990,1995
9877753,H,-1,-1
9878136,H,-1,-1
0345573,H,1979,1983
8309795,H,1983,1988
7611750,IM,1978,1979
8100351,H,-1,-1
8102105,H,1981,1982
8404925,H,1983,1986
0214330,H,1978,1981
9878434,H,1979,1986
7910894,H,-1,-1
7703664,H,1975,2004
9878622,H,1980,1983
9884311,H,1988,1997
7703663,H,-1,-1
9877772,H,1978,1998
7705464,H,-1,-1
9612491,IM,1996,2002
0375037,IM,1965,-1
0007616,IM,1967,1979
8003761,B,1990,1998
9517856,E,1995,1997
9431861,E,1994,2000
101124748,IM,2003,-1
101126530,IM,2003,-1
7801727,H,1978,1989
0415527,H,-1,-1
0375042,IM,1965,1993
8915365,H,-1,-1
9876029,H,-1,-1
8511210,IM,1995,1995
0376547,IM,1964,1996
0320043,IM,1969,1989
7809641,H,1978,1990
7610780,H,1978,1981
7703901,R,-1,-1
9212301,IM,1991,-1
7507112,IM,1974,1991
0370716,IM,1965,1988
9001350,H,-1,-1
0344327,J,1975,1981
0375044,H,1978,1990
7808722,H,1978,1994
7808722,H,1995,1998
7808722,T,1996,2018
9877774,H,-1,-1
9877775,H,1978,1992
9877776,H,-1,-1
9877777,H,1978,1981
9891707,T,1996,2018
0330706,IM,1972,1978
7902034,IM,1978,-1
9513311,H,1995,1995
0410273,R,1974,1978
0436651,IM,1974,1980
0374625,IM,1965,1978
01920610R,H,1976,2016
7805999,H,-1,-1
0253250,H,-1,-1
9438201,H,1994,1994
9114077,IM,2000,2001
8006903,H,-1,-1
0376760,IM,1973,1974
8610313,H,1994,1997
8302443,IM,-1,-1
7907340,B,1990,1997
0370737,IM,1965,1984
1257130,IM,1965,2017
1257130,QIS,1965,2017
9425368,QIS,1992,2007
8109799,D,1978,1990
7808490,H,1978,1978
7807279,H,1986,1989
9877044,H,-1,-1
9816128,S,1996,2005
0432550,H,-1,-1
8004962,H,-1,-1
9424805,IM,1997,2017
0376762,R,1973,1979
9875796,H,1978,2016
7703681,H,1976,1993
7703681,T,1996,2019
9892143,H,1979,1981
8302449,H,1981,1983
8000123,H,-1,-1
9707732,H,1997,1999
7801070,H,-1,-1
9617613,H,1984,1992
9706569,H,1996,2006
9506760,T,1995,1999
8701070,H,-1,-1
7611530,J,1980,1986
8707757,H,1987,1987
8612805,H,1986,1986
9877954,H,-1,-1
9304299,H,1992,1995
8708284,H,-1,-1
7704274,H,1975,1977
7801750,H,-1,-1
7904272,H,1980,1980
8604149,H,-1,-1
0374646,H,-1,-1
7904999,H,1980,1983
9004555,H,-1,-1
100888373,QIS,2008,2016
8400108,H,-1,-1
8004176,H,-1,-1
8502875,H,-1,-1
9877997,H,1977,1981
8911894,H,-1,-1
7801226,H,-1,-1
8307267,H,-1,-1
7806285,H,1978,1980
1255014,H,-1,-1
7503531,H,1977,1977
7806574,H,-1,-1
7909999,H,1979,1983
8917069,H,1989,1992
7909318,H,-1,-1
7904275,H,1979,1979
8700098,H,1986,1987
7607516,H,-1,-1
8103581,H,-1,-1
0361025,H,-1,-1
9442811,H,1994,1998
9114114,T,1991,1997
0233525,H,-1,-1
7801228,H,-1,-1
9001373,H,-1,-1
8503108,H,-1,-1
9888383,H,1994,1998
9212326,H,1992,1994
9416012,H,-1,-1
8806584,H,-1,-1
9878882,H,1980,1983
9442118,H,1995,1996
9425861,H,-1,-1
8403803,H,-1,-1
8507456,H,-1,-1
8903882,H,-1,-1
9877468,H,-1,-1
2985094R,IM,1965,1976
9431605,QIS,1997,2017
9426321,QIS,-1,-1
9513999,QIS,1994,-1
7507133,QIS,1969,2017
7700207,QIS,1976,2012
